,year,month,day,t_max,t_min,wind,rain
0,2017.0,7.0,1.0,26.0,15.0,6.1,14.0
1,2017.0,7.0,2.0,25.0,15.0,6.9,0.0
2,2017.0,7.0,3.0,25.0,16.0,6.7,0.0
3,2017.0,7.0,4.0,27.0,12.0,5.3,0.0
4,2017.0,7.0,5.0,30.0,17.0,4.2,0.0
5,2017.0,7.0,6.0,30.0,17.0,5.6,0.0
6,2017.0,7.0,7.0,28.0,17.0,4.7,0.0
7,2017.0,7.0,8.0,32.0,16.0,6.7,0.0
8,2017.0,7.0,9.0,30.0,18.0,2.2,0.0
9,2017.0,7.0,10.0,36.0,20.0,6.4,21.0
10,2017.0,7.0,11.0,31.48,22.16,3.7,0.4
11,2017.0,7.0,12.0,32.14,19.55,2.2,1.5
12,2017.0,7.0,13.0,24.78,17.3,7.0,1.0
13,2017.0,7.0,14.0,24.71,14.39,1.6,0.0
14,2017.0,7.0,15.0,24.83,15.19,5.2,2.4
15,2017.0,7.0,16.0,25.43,14.36,3.4,0.0
16,2017.0,7.0,17.0,29.02,16.6,1.5,0.0
17,2017.0,7.0,18.0,31.16,19.56,1.3,0.0
18,2017.0,7.0,19.0,33.04,17.75,2.3,0.0
19,2017.0,7.0,20.0,34.84,18.64,1.6,0.0
20,2017.0,7.0,21.0,33.28,22.94,4.0,0.0
21,2017.0,7.0,22.0,34.21,21.52,1.9,5.0
22,2017.0,7.0,23.0,33.89,21.58,2.5,0.6
23,2017.0,7.0,24.0,30.87,21.92,3.1,8.3
24,2017.0,7.0,25.0,22.1,15.1,8.4,12.9
25,2017.0,7.0,26.0,20.7,13.2,5.9,0.0
26,2017.0,7.0,27.0,20.7,12.8,7.1,1.0
27,2017.0,7.0,28.0,23.1,15.9,6.8,0.2
28,2017.0,7.0,29.0,26.4,16.0,3.3,0.0
29,2017.0,7.0,30.0,27.9,16.4,4.7,0.0
30,2017.0,7.0,31.0,30.0,18.3,3.8,0.0
31,2017.0,8.0,1.0,31.7,20.8,3.9,0.0
32,2017.0,8.0,2.0,34.7,23.4,5.5,0.0
33,2017.0,8.0,3.0,34.6,20.5,2.1,0.0
34,2017.0,8.0,4.0,36.8,22.6,2.1,2.8
35,2017.0,8.0,5.0,33.8,24.9,6.6,0.0
36,2017.0,8.0,6.0,32.7,23.1,7.9,0.4
37,2017.0,8.0,7.0,23.7,16.6,4.8,4.2
38,2017.0,8.0,8.0,29.2,13.7,3.0,0.0
39,2017.0,8.0,9.0,29.3,18.2,4.6,0.0
40,2017.0,8.0,10.0,36.1,22.9,5.3,0.0
41,2017.0,8.0,11.0,34.3,22.4,6.0,0.0
42,2017.0,8.0,12.0,23.5,19.9,8.6,0.5
43,2017.0,8.0,13.0,26.4,17.1,8.1,0.0
44,2017.0,8.0,14.0,25.2,12.7,3.4,0.0
45,2017.0,8.0,15.0,27.4,14.9,3.2,0.0
46,2017.0,8.0,16.0,28.0,14.6,2.8,0.0
47,2017.0,8.0,17.0,30.8,16.3,2.4,0.0
48,2017.0,8.0,18.0,32.9,18.0,3.8,0.0
49,2017.0,8.0,19.0,32.7,20.5,7.9,0.3
50,2017.0,8.0,20.0,20.9,14.7,7.2,7.8
51,2017.0,8.0,21.0,23.4,13.1,6.1,0.0
52,2017.0,8.0,22.0,22.5,10.7,2.7,0.0
53,2017.0,8.0,23.0,23.7,10.8,3.5,0.0
54,2017.0,8.0,24.0,26.3,9.1,2.9,0.1
55,2017.0,8.0,25.0,29.5,14.1,2.2,0.0
56,2017.0,8.0,26.0,30.2,16.4,2.6,0.0
57,2017.0,8.0,27.0,32.2,18.3,4.4,0.0
58,2017.0,8.0,28.0,25.3,17.0,3.7,0.0
59,2017.0,8.0,29.0,25.7,14.7,3.0,0.0
60,2017.0,8.0,30.0,28.0,12.1,3.5,0.0
61,2017.0,8.0,31.0,28.5,12.8,3.9,0.0
62,2017.0,9.0,1.0,31.0,15.8,3.8,2.9
63,2017.0,9.0,2.0,22.2,16.0,4.8,10.9
64,2017.0,9.0,3.0,20.2,15.1,4.8,2.2
65,2017.0,9.0,4.0,18.9,12.1,6.7,1.9
66,2017.0,9.0,5.0,21.6,9.6,5.9,0.0
67,2017.0,9.0,6.0,22.2,10.4,6.7,2.1
68,2017.0,9.0,7.0,19.5,12.6,7.4,0.0
69,2017.0,9.0,8.0,21.4,8.7,3.0,0.0
70,2017.0,9.0,9.0,24.5,11.3,4.4,1.0
71,2017.0,9.0,10.0,26.0,13.8,5.4,0.0
72,2017.0,9.0,11.0,26.1,18.6,4.5,3.4
73,2017.0,9.0,12.0,20.1,14.3,6.6,1.8
74,2017.0,9.0,13.0,22.0,12.6,6.6,0.0
75,2017.0,9.0,14.0,22.7,12.6,9.8,0.8
76,2017.0,9.0,15.0,17.3,12.2,8.2,0.5
77,2017.0,9.0,16.0,19.1,13.0,3.6,1.8
78,2017.0,9.0,17.0,16.6,9.4,8.2,11.6
79,2017.0,9.0,18.0,17.3,10.3,3.4,0.8
80,2017.0,9.0,19.0,14.8,11.3,5.3,9.9
81,2017.0,9.0,20.0,16.3,12.5,2.7,15.0
82,2017.0,9.0,21.0,13.8,12.2,7.5,5.4
83,2017.0,9.0,22.0,17.0,10.5,7.0,0.4
84,2017.0,9.0,23.0,13.0,10.4,7.7,16.9
85,2017.0,9.0,24.0,16.7,9.2,5.8,0.2
86,2017.0,9.0,25.0,16.9,10.9,3.6,0.9
87,2017.0,9.0,26.0,20.9,7.8,4.1,0.0
88,2017.0,9.0,27.0,16.7,12.1,4.5,0.0
89,2017.0,9.0,28.0,16.6,8.0,3.8,0.0
90,2017.0,9.0,29.0,16.8,5.5,2.1,0.0
91,2017.0,9.0,30.0,16.9,4.3,2.1,0.0
92,2017.0,10.0,1.0,16.2,4.7,2.4,0.0
93,2017.0,10.0,2.0,17.0,3.1,5.3,0.0
94,2017.0,10.0,3.0,15.6,4.9,4.3,6.1
95,2017.0,10.0,4.0,16.1,10.1,6.9,0.0
96,2017.0,10.0,5.0,19.6,10.5,9.9,0.0
97,2017.0,10.0,6.0,14.9,10.5,7.7,0.0
98,2017.0,10.0,7.0,14.8,8.3,6.4,0.0
99,2017.0,10.0,8.0,14.8,6.8,7.6,0.1
100,2017.0,10.0,9.0,13.6,9.1,5.4,0.1
101,2017.0,10.0,10.0,16.0,8.2,4.5,0.2
102,2017.0,10.0,11.0,17.8,10.6,4.5,0.4
103,2017.0,10.0,12.0,20.3,8.2,5.0,0.0
104,2017.0,10.0,13.0,17.6,11.0,5.4,0.0
105,2017.0,10.0,14.0,18.4,9.0,3.1,0.0
106,2017.0,10.0,15.0,20.5,9.0,2.8,0.0
